Rut;Nombre;Direccion;Direccion2;Ciudad;Pais;Contacto;Contacto2;Fax;Telefono
32002808-6;E & M S.R.L.;Av. el Derby Nro. 250 Dpto. 1101 Int. 11 (Edificio Capital Derby - Piso 11) - Santiago de Surco;;Lima;Peru;Roxana;;;2065600
32002900-7;Nestlé Dominicana S.A.;Av. Abraham Lincoln No. 118, Sector Matahambre, Santo Domingo;;Matahambre;Dominican Republic;Glorivit;;;
32002901-5;Mezclas Industriales Diversas SRL;Antigua Carretera Duarte km 17, calle Palma Honda, Los Alcarrizos, Santo Domingo;;Santo Domingo;Dominican Republic;José;;;
32002902-3;Cervecería Nacional Dominicana S.A.;Autopista 30 de mayo Km 6 1/2 - Polígono Industrial Hato Nuevo;;Polígono Industrial Hato Nuevo;Dominican Republic;Wilson;;;
32003501-5;DOMINGO R.GHELFA LTDA;ITUZAINGO NRO.1919 PAYSANDU;;PAYSANDU;Uruguay;;;;
32003502-3;MONDELEZ URUGUAY;YAGUARON 1407 PISO 16;;MONTEVIDEO;Uruguay;;;;
32003503-1;NIPAX Ltda.;Gabriel Otero 6462 of.008;;;Uruguay;Juan Pablo Madueño;;;598  26003079
32003504-K;CONAPROLE;;;;Uruguay;;;;
32003505-8;RETANA TRANSAMERICA S.A.;Paraguay N°2141 of. 1204 A Aguada Park , Montevideo Uruguay;;Montevideo;Argentina;Federico Valobra;;;598 2 927 2268
32003506-6;Quimica Oriental S.A.;Av. General Flores #4314-16 C.P. 12000;;Montevideo;Uruguay;;;;598-2-2150627
32003507-4;Industrias Alimentarias Cambay S.A.;Cambay 2816 Zip Code 12100;;Montevideo;Uruguay;;;;
32003600-3;Productos Amadio C.A.;Avda. Lisandro Alvarado sector La Florida Valencia;;;Venezuela;;;;
32003601-1;PLUMROSE LATINOAMERICANA, C.A.;CARRETERA NACIONAL CAGUA-VILLA DE CURA,;;CAGUA-EDO.ARAGUA;Venezuela;;;;
32003602-K;VISKON C.A.;CALLE MURACHI, EDIF.ATLANTIDA, LOCAL B EL LLANITO;;;Venezuela;;;;
32003603-8;Servicios Sumiex C.A.;Calle Este Dos con Sur Veinticinco, Edif. José Vargas;;La Candelaria;Venezuela;Jeimy Peraza;;;
32003604-6;Lacteos Los Andes, C.A.;G-20009826-0, AV.INTERCOMUNAL VIA ACARIGUA LOCAL;;;Venezuela;;;;
32003605-4;Embutidos Frio Carnes, C.A.;Av. 3, local parcela Nro. A-04, Zona Industrial Santa Cruz Edo. Aragua;;Aragua;Venezuela;;;;0243-2188604
32003606-2;GLOBALTEK;11200 NW 25TH ST, SUITE 117;;MIAMI;USA;CARLOS BENARROCH;;;
32003607-0;INDUSTRIA PRODUCTORA DE ALIMENTOS IMPROCA C.A.;CTRA Vieja Petare Guarenas local galpon Nro 3 Sector el Cedralito;;;Venezuela;Hector Fierro;;;
32003608-9;CASTELO BRANCO INDUSTRIAL C.A.;Final Av.Casanova, Edificio Eurocentro Urb. Bello Monte;;Municipio Baruta;Venezuela;;;;58 212 9540154
32003609-7;Embutidos America C.A.;Av. Pedro Lucas Urribarri casa s/n sector punta iguana;;;Venezuela;;;;58 02649343149
32003610-0;Industria Láctea Venezolana, C.A. Parmalat;Avenida San Francisco Edificio Indulac;;Colinas de la California;Venezuela;;;;58 212 2052729
32003611-9;LATAM TECHNOLOGY, C.A.;Av Principal Residencias Samara II Piso 15 Apt 15-3 Urb Las Chimeneas Valencia, Edo Carabobo;;Edo. Carabobo;Venezuela;Cristian;;;0058244-447.71.50
32003612-7;PROTEÍCO INGREDIENTES ALIMENTÍCIOS EIRELI;CARLOS DRUMMOND DE ANDRADE, 030 - JARDIM EUROPA - TOLEDO  PARANÁ - BRASIL  CEP 85908050;;PARANÁ;Brazil;Sidnei Horst;;;55 45 3053 8110
32003612-7;PROTEÍCO INGREDIENTES ALIMENTÍCIOS EIRELI;CARLOS DRUMMOND DE ANDRADE, 030 - JARDIM EUROPA - TOLEDO  PARANÁ - BRASIL  CEP 85908050;;PARANÁ;Brazil;Josiane;;;55 45 3053 8110
33002401-1;SIGMA ALIMENTOS CENTRO S.A. de C.V.;Ernesto Pugibet 2 Industrial Xalostoc Ecatepec de Morelos MEX MX 55348 SAC920117AFA;;ECATEPEC de MORELOS;Mexico;;;;
33002404-6;DUAS RODAS IND.DE MEXICO S.DE R.L.DE C.V;LAMARTINE 238 INT.LOCAL 102 CHAPULTEPEC;;;Mexico;;;;52 55 55664885
33002405-4;GELYMAR MEXICO SA de CV;Darwin, No. 68, Despacho 1301, Col.Anzures C.P. 11590;;Ciudad de México;Mexico;David;;;52085324
33002405-4;GELYMAR MEXICO SA de CV;Darwin, No. 68, Despacho 1301, Col.Anzures C.P. 11590;;Ciudad de México;Mexico;David;;;52085324
33002406-2;Griffith Foods, S.A. de C.V.;Av. Industriales del poniente # 537 Colonia Pio XII, CP 66362;;SANTA CATARINA;Mexico;;;;
33002407-0;MAKYMAT, S.A.P.I. DE C.V.;Calle San Luis Tlatilco 6-A Col. San Luis Tlatilco;;Naucalpan;Mexico;;;;
33002408-9;NO USAR Gelymar Mexico S.A. de C.V.;Calle 643, N° 197 col.sn Juan de Aragón Sección 4 y 5  CP07979;;;Mexico;;;;
33002409-7;DIVISION INDUSTRIAL DE FISICOS UNIDOS SA DE CV;Calle 14 de Agosto No. 55 Col. Manuel Avìla Camacho, Naucalpan Estado de Mexico;;;Mexico;;;;
33002410-0;KERRY INGREDIENTS  DE MEXICO SA DE CV.;Carr Pan Irapuato Salamanca Km.11.2 Irapuato, Guanajuato C.P. 36660 R.F.C. KIM-941206-S20;;Irapuato;Mexico;;;;
33002411-9;GLOBAL SPICE S.A.;SAN JOAQUIN DE LAS FLORES, HEREDIA COSTA RICA;;Heredia;Costa Rica;;;;
33002412-7;Kerry LATAM;Oriente 2,4 Nuevo Parque Industrial. San Juan del Rio. Queretaro CP 76809;;Mexico;Mexico;;;;52085324
33002413-5;EXTRACTOS NATURALES GELYMEX SA DE CV;Melchor Ocampo No. 330, Interior PH, Colonia Cuauhtémoc, C.P. 06500, Alcaldía Cuauhtémoc;;Ciudad de México;Mexico;David;;;
33002414-3;Derivados de Leche La Esmeralda;Frente a la Estación del FF CC, S/N, Colonia La Estacion, San Miguel de Allende, Guanajuato;;Guanajuato, C.P. 37759;Mexico;Norma;;;
34500000-3;Clientes EEUU;;;;USA;;;;
34501600-7;International N&H USA, Inc.;Philadelphia PA 19101, PO Box 42819;;Philadelphia;USA;Jacqueline;;;
34501601-5;AEP COLLOIDS, DIV. OF SARCOM INC.;6299 ROUTE 9N;;ROUTE 9N;USA;;;;
34501602-3;CARGILL INCORPORATED;3582 McCALL PLACE N.E.;;ATLANTA;USA;;;;56 2 230 9400
34501603-1;POPULATION COUNCIL;One Dag Hammarskjold Plaza 10017;;;USA;;;(212) 755 6052;(212) 339 0500
34501604-K;CROWN POINT LTD.;118 S. CYPRESS STREET;;CYPRESS STREET;Jamaica;;;;843-464-8165
34501605-8;(NO USAR) DUPONT NUTRITION USA INC;CROCKETTS POINT PO BOX 1589 ROCKLAND, MAINE 04841-1589  USA;;;USA;;;;
34501606-6;Tilley Distribution, Inc.;631 MOOSEHEAD TRAIL;;WALDO;USA;;;001 207 7224271;001 800 6386968
34501607-4;THE INGREDIENT HOUSE;120 Applescoss Road,2nd Floor Pinehurst,;;;USA;;;;1910-235-4495
34501608-2;TIC GUMS INC.;4609 RICHLYNN  DRIVE;;BELCAMP, MD 21017;USA;;;;
34501609-0;ALGON CORPORATION;12000 SW 132 COURT MIAMI,FL 33186;;;USA;ALEXANDRA HERNANDEZ;;305-253-6952;305-253-6901
34501610-4;Munson Machinery Company;;;;USA;;;;
34501611-2;Ingredion Incorporated;810 S Cincinnati Avenue 4th Floor, Tulsa OK-74119 TAX ID: 22-3514823;;Tulsa;USA;Ira;;;(708) 551-2516
34501611-2;Ingredion Incorporated;810 S Cincinnati Avenue 4th Floor, Tulsa OK-74119 TAX ID: 22-3514823;;Tulsa;USA;Felix;;;(708) 551-2516
34501612-0;Gum Technology;10860 N.Mavinee Drive, Suite 100 AZ 85737 Tucson USA;;;USA;;;;
34501613-9;HENRY DE LA VEGA;;;;USA;;;;
34501614-7;ALITEC SOLUTIONS CORP;150 SE 2ND AVE. SUITE 507 MIAMI,FL. 33131;;Miami;Venezuela;Jessica Ledezma;;;(786)353-1896/1897
34501614-7;ALITEC SOLUTIONS CORP;150 SE 2ND AVE. SUITE 507 MIAMI,FL. 33131;;Miami;Venezuela;Alexandra Guruceaga;;;(786)353-1896/1897
34501615-5;Biocogent, LLC;25 health Sciences Drive;;New York;USA;Sarah;;;
34501615-5;Biocogent, LLC;25 health Sciences Drive;;New York;USA;Joseph;;;
34501616-3;CONAGRA;104 RIVER RD MENOMONIE, WI 54751 USA;;Stein;USA;;;;
34501617-1;KERRY (CANADA) INC;San antonio 78269 Box Number 696479;;Texas;USA;;;;
34501618-K;KERRY INGREDIENTS AND FLAVOURS (USA);JACKSON PLANT - BOX NUMBER 696477 SAN ANTONIO TX 78269;;Texas;USA;Dan;;;
34501619-8;Food Ingredients Inc.;2100 Airport Road Waukesha, WI 53188;;Wisconsin;USA;;;;262 521 8118
34501620-1;AIDP Inc;19535 E. Walnut Dr. South, City of Industry, CA 91748;;;USA;Crystal;;;+1 626.964.6910
34501621-K;UNIVAR SOLUTIONS USA, LLC;3 Waterway Square place Suite 1000 The Woodlands, TX 77380;;The Woodlands, TX 77380;USA;Geri;;;+1-331-777-6000
34501621-K;UNIVAR SOLUTIONS USA, LLC;3 Waterway Square place Suite 1000 The Woodlands, TX 77380;;The Woodlands, TX 77380;USA;Aaron;;;+1-331-777-6000
34501621-K;UNIVAR SOLUTIONS USA, LLC;3 Waterway Square place Suite 1000 The Woodlands, TX 77380;;The Woodlands, TX 77380;USA;charles;;;+1-331-777-6000
34501621-K;UNIVAR SOLUTIONS USA, LLC;3 Waterway Square place Suite 1000 The Woodlands, TX 77380;;The Woodlands, TX 77380;USA;;;;+1-331-777-6000
34501622-8;CIRCADIAN CROP SCIENCE LLC;PO BOX 35;;USA;USA;DAVID;;;15307825324
34501622-8;CIRCADIAN CROP SCIENCE LLC;PO BOX 35;;USA;USA;RON;;;15307825324
34501622-8;CIRCADIAN CROP SCIENCE LLC;PO BOX 35;;USA;USA;JESSICA;;;15307825324
34501623-6;Sway Innovation Co.;1743 Addison Street Berkeley;;Addison;USA;Emily;;;18312347689
34501624-4;HARRIS & FORD, LLC;9307 E. 56th St;;Indianapolis;USA;;;;317-591-0000
34501625-2;DBC INGREDIENTS INC.;1035 JACKSON AVE;;RIVER FOREST ILLINOIS;USA;Paul;;;708-366-5300
34501626-0;Scope Ingredients Pvt. Ltd.;BLOCK D) UNIT 17/B,SHREE UMIYA COMM. COMPLEX, MUMBAI AGRA AND RETI BUNDER RD CORNER,VILL. KALHER,;;TALUKA BHIWANDI, D. THANE-421302, MAHARASHTRA;India;Hriday;;;P  : +044-40400400
34501627-9;Agrico Trading LLC;201 S. Biscayne Boulevard #1480 Florida. Código postal 33131 FL;;Miami;Venezuela;Fernando;;;
34501628-7;EnvironMolds, LLC;18 Bank Street / Suite 1 Summit, NJ 07901;;Summit;USA;Ed;;;1 908 273-5401
34501629-5;Danisco USA Inc.;Four New Century Parkway, New Century, Kansas  66031;;New Century;USA;;;;001 (816)-232-8423
34501630-9;FISBRULER LLC;31 NW 9TH ST, Miami, Florida, FL 33136;;Miami;USA;Caterina;;;
34501631-7;Colony Gums, LLC;2626 Executive Point Drive;;Monroe;USA;JC;;;(704) 226-9666
35000000-3;Clientes de Asia;;;;.;;;;
35000201-4;REFINED FOOD COMPANY (REFCO);INDUSTRIAL CITY - PHASE FOUR;;;Saudi Arabia;;;;
35000202-2;RIYADH FOOD FACTORY;P.O.BOX 6479,RIYADH 11442, SAUDI ARABIA,;;RIYADH;Saudi Arabia;;;;
35000203-0;TRADING & DEVELOPMENT Co. FOR MACHINERY & EQUIPMENT REDA;ABT Building 2nd floor, Al bustan District 31952 AL KHOBAR;;;Saudi Arabia;;;;00 966 3 857 2819
35000204-9;REDA FOOD INGREDIENTS;P. O. Box 58866 Riyadh 11515 Al Meezan Building, Olaya District;;;Saudi Arabia;;;;
35000205-7;Nasim Atayibat company;SECOND INDUSTRIAL CITY, MAKKAH STREET, CROSS ROAD 98 DAMMAN 34333;;;Saudi Arabia;;;;
35000206-5;REDA Riyadh Warehouse;Exit 18, Opp to Al Munajim Poultry Near to Railway track - Riyadh;;;Saudi Arabia;;;;
35000207-3;United Food Industries Corp.;Khaldeyah-P.O. Box No.:64,Al Khobar 31952 Kingdom of Saudi Arabia;;Khobar;Saudi Arabia;;;;+966 13 920007111
35000208-1;INTEGRATED AGRICULTURE COMPANY ALLAGRO;Business Centre, Office No. 1, Prince Mohamed Bin Fahd Road, P.O.BOX: 9248 31413 DAMMAM;;DAMMAM;Saudi Arabia;SYED;;;
35000209-K;NO USAR Lactalis KSA;Opp. Alyoum News Paper Printing Press Khaledyah, P O Box 64, Alkhobar 31952;;Khaledyah;Saudi Arabia;Sajith;;;
35000210-3;Saudi New Zealand Milk Products Co Ltd (Fonterra KSA);2nd Industrial City, Abquaiq Road, PO Box 7493 , 31462 Dammam;;;Saudi Arabia;Yasser AlAli;;;
35000801-2;CHINA BLUESTAR INTERNATIONAL CHEMICAL CO., LTD;No.9, Beitucheng West Rd., Chaoyang District;;;China;;;;86-10-61958561
35000802-0;HANGZHOU WAHAHA HEALTH FOOD CO.,LTD.;QINTAI ROAD 160, HANGZHOU,;;HANGZHOU;China;;;;86 571 82722353
35000803-9;SHANGHAI BLUEWAY TRADING CO.,LTD;Room 1201, 12th Floor,Building 2,1126-LI-AN ROAD, Minhang District,SHANGHAI 201199;;SHANGHAI 201199 USCC  913101126762546417;China;;;;86-21-64883283
35000804-7;Zhongbai Xingye Food Technology (Beijing) Co., Ltd.;ROOM909,Bldg 17,Royal Intl.Mansion,No2 Xitieying Middle Road;;BEIJING;China;LIU AIWU;;;(86-10)67524701
35000805-5;BLG;9F Bldg 5#,Caohejing Pujiang Hi-TECH Plaza,2388 Chenhang Road,Shanghai,China.;;2388 Chenhang Road,Shanghai;China;Siwen;;;
35000806-3;ZHEJIANG TOP INGREDIENTS CO LTD;;;;China;;;;8613512116304
35001000-9;JB Co.Ltd.;;;;South Korea;;;;
35001001-7;Sias Co. Ltd.;;;;South Korea;;;;
35001002-5;BnK International;1930, Halla C dong, Songdo Seawalk Interrace 313 Central-ro, Yeonsu-gu;;Central-ro, Yeonsu-gu;South Korea;James;;;
35001003-3;Suheung Co., Ltd.;61,Osongsaengmyeong-ro, Osong-eup, Heungdeok-gu,Cheongju-si.Chungcheongbuk-do 28161,Republic of Kore;;Osongsaengmyeong-ro, Osong-eup, Heungdeok-gu,Cheongju-si.Chungcheongbuk-do 28161;South Korea;Brian;;;
35001102-1;REDA INDUSTRIAL MATERIALS FZE;P.O.BOX 18177,JEBEL ALI FREE ZONE;;;United Arab Emir.;;;;
35001103-K;Hassani Group of Companies;PO Box 286 Dubai, UAE;;Dubai;United Arab Emir.;Emadadeen Khalil Abo Dalo;;;
35001104-8;Hassani Food Industries LLC;STREET 51, COMMUNITY 598, DUBAI INVESTMENT PARK 1, PO Box 286 Dubai, UAE;;Dubai;United Arab Emir.;Emadadeen;;;
35001105-6;APRIL ENTERPRISE FZ-LLC (DUBAI BRANCH);A4-1125 BUILDING NO. A4, AL HAMRA INDUSTRIAL ZONE-FZ RAK, UAE;;RAK;United Arab Emir.;Majid;;;
35001106-4;AL WAFI FOOD PRODUCTS FACTORY LLC;Plot-104,105 & 106,Khalifa Industrial Zone (KIZAD), KIZAD-A,Al Taweelah, Abu Dhabi;;Abu Dhabi;United Arab Emir.;Oh-sung;;;
35001107-2;Gelimax / Shokrollahi Co.;Office 102, AlKhor Plaza Building,Sheikh Rashid Rd., Port Saeed, Dubai;;Sheikh Rashid Rd., Port Saeed;United Arab Emir.;Mary;;;
35001108-0;Foodtech FZCO;Office n°5  10th floor Goldcrest Executive Tower JLT PO Box 9867  Dubai;;Dubai;United Arab Emir.;Selim;;;
35001201-K;Dupont Nutrition Philippines Inc;OUANO COMPOUND, LOOC;;CEBU;Philippines;;;;
35001202-8;MARINE COLLOIDS PHILIPPINES, Inc.;QUANO COMPOUND, LOOC;;;Philippines;;;;
35001203-6;PCI WORLDWIDE,INC.;SUITE 1404 SUMMIT ONE TOWER 530 SHAW;;;Philippines;;;;63-2-5339984
35001204-4;SHEMBERG BIOTECH CORPORATION;PAKNA-AN, MANDAUE CITY;;PHILIPPINES, 6014;Philippines;;;;
35001205-2;ACCEL CARRAGEENAN CORPORATION;BLOCK 1 LOT 2 PEOPLE´S TECHNOLOGY COMPLEX, SPECIAL ECONOMIC ZONE, CARMONA CAVITE 4116;;;Philippines;;;;
35001206-0;W Hydrocolloids Inc.;Block 1, Lot 10, Mountview Industrial Complex, Bancal Carmona Cavite 4116 Philippines;;Philippines;Philippines;;;;6328563838
35001207-9;TBK Manufacturing Corporation;145 L.Gruet St. San Juan City;;;Philippines;;;;
35001208-7;KERRY MANUFACTURING (PHILIPPINES), INC;8TH FLOOR THE W FIFTH AVENUE BUILDING  .5TH AVENUE, BONIFACIO GLOBAL  1630 TAGUIG CITY, METRO MANILA;;TAGUIG;Philippines;Janet Joy;;;
35001301-6;BRENNTAG INGREDIENTS INDIA PVT.LTD.;HILTON HOUSE,5th FLOOR MIDC CENTRAL ROAD;;CENTRAL ROAD;India;;;;0091-22-4248 2100
35001302-4;PRIYANKA PHARMA;C/o SKW & Co., Dalmill Compound, next to;;;India;;;;
35001303-2;Gandour India Food Processing Pvt Ltd.,;Sy.No.172&173, IDA, Phase-IV,Cherlapally,Hyderabad-500 051;;Cherlapally,Hyderabad;India;K. Raja Rao;;;
35001304-0;Scope Specialities LLP.;GODOWN NO.18 B-1 (BLOCK D) AT GROUND FLOOR SHREE UMIYA COMMERCIAL COMPLEX,MUMBAI AGRA AND RETI BUNDE;;MAHARASHTRA;India;Ashish;;+91 44 40 400 405;+91 44 40 400 400
35001305-9;HealthCaps India Limited;VILLAGE FATEHPUR, POST OFFICE MAJRA JATTAN, TEHSIL BALACHAUR DISTT.S.B.S.NAGAR (NAWANSHAHR);;PUNJAB;India;Ashok;;;+91 1881 273641
35001306-7;Nature-Tech Ingredients pvt ltd;705, 7th Floor, Tower C , NDM-2 , Netaji Subhash Place, Pitampura Delhi -110034 INDIA;;Pitampura Delhi;India;Mr. Gaurav;;;
35001307-5;DKSH -Confirmar Budget;;;;India;;;;
35001400-4;SATYAINTI;;;;Indonesia;;;;
35001401-2;Gala Laksana;;;;Indonesia;;;;
35001402-0;PT. INDONUSA ALGAEMAS PRIMA;Multiguna Square No. 1 L-M, JL. Rajawali Selatan Raya Block C- 5/2;;JAKARTA;Indonesia;Erlina;;;
35001501-9;BURG AL-IRAQ Co. for GENERAL TRADING. Aljamaila street, Baghdad IRAQ;ALJAMAILA STREET. BAGHDAD. Phone:009647504453904 Fax: 00964662560984 Email: info@burgaliraq.com;;BAGHDAD;Iraq;;;;00964662532435
35001502-7;ROZH FACTORY;Iraq-Erbil-South Industrial Area 09646 Erbil;;Erbil;Iraq;ABDULLAH MOHSEN ABDULLAH;;;+ 964-7701387555
35001601-5;ROBERTET SIRJAN CO;153,Ghaem Magham Farahani Ave, Suite No.3;;Tehran;Iran;;;;
35001602-3;KALLEH AMOL MEAT PRODUCTION CO.;N°103, East Azarbaijan Ave.;;;Iran;Mr. Darzi;;982166479420;982163475000
35001701-1;ZAGA BROTHERS LTD;VAT # 511256737 3, ELIAHU EITAN STREET, IND, ZONE;;RISHON LEZION;Israel;;;;
35001702-K;GAD DAIRY;;;;Israel;;;;
35001703-8;Nagum Ltd;1 Haofe St. Hasharon Ind. Park, 6092000 P.O. Box 5058,Kadima;;Kadima;Israel;Omri;;;
35001704-6;Naknik Nahariya Kasher Soglowek;8 HAgaaton Blvd P.O.B. 70 , Nahariya , 2210001;;Nahariya;Israel;Liora;;;
35001705-4;MOGA INTERNATIONAL LTD.;17 Shaked Street, Industrial Park Hevel Modiin 73199;;Modiin;Israel;OhaD;;;
35001800-K;CHORI CO. LTD.;;;;Japan;;;;
35001801-8;UNITEC FOODS;;;;Japan;;;;
35001802-6;TOYOTSU CHEMIPLAS CORPORATION;SHINAGAWA FRONTBLDG., 3 -1 3 KONAN 2-CHOME, MINATO-KU, TOKYO, 108-8216;;Tokio;Japan;;;;
35001803-4;MARINE SCIENCE CO. LTD.;;;;Japan;;;;
35001804-2;SAN-EI GEN F.F.I., INC;;;;Japan;;;;
35001805-0;FGA Laboratories Co, Ltd.;Kita 2-13, Tenjinbashi 2 Chome, Kita-ku Osaca;;;Japan;;;;81 6 6351 4699
35001806-9;SHIN NIHON KENTEI KYOKAI;;;;Japan;;;;
35001807-7;Mitsubishi Corporation;3-1, Marunouchi 2-Chome, Chiyoda-ku, Tokyo, 100-8086;;Tokio;Japan;Yuki;;;
35001900-6;MAHMOUD KHADER GROUP.AL Muqabalean - AL SAKRA Str., Mahmoud Khader Building;Near of Income & Sales Tax Department  South Amman P.O Box 213067 Code 11121Amman;;;Jordan;MOHAMMAD ALZBOON;;0096 2 6 4202285;962797675762
35001901-4;Target Chemicals;137, King Abdullah II Street, Masannat Plaza Building, 2nd Floor Amman 11196;;Jordan;Jordan;;;;
35001902-2;Arab Food Industries Company Ltd;P.O. Box 500, Amman 11810, Jordania;;Amman 11810;Jordan;Amer;;;
35001903-0;Backaldrin Arab Jordan Ltd.;Alkastal, Almushatta Village P.O Box 213070, Postal Code 11121 Amman, Jordan;;Alkastal;Jordan;Hasani;;;
35002101-9;REDA CHEMICAL;AI AWKAK COMPLEX TOWER 17, 6TH FLOOR, SUITE 16 SHARK, SAFAT;;;Kuwait;;;;
35002301-1;ORKILA INTERNATIONAL OFFSHORE;SNA BUILDING -10TH FLOOR PO BOX 16 69 33;;;Lebanon;;;;
35002302-K;CHEMICAL PLUS SAL;Mar Roukoz Street, Dekwaneh, Beirut;;Beirut;Lebanon;Lama Kamleh;;;961 1 691629
35002401-8;BRENNTAG MALAYSIA,SDN.BHD.;LEVEL 3,BLOCK B,PEREMBA SQUARE, SAUJANA;;;Malaysia;;;;60378459228
35002402-6;DIORCHEM SDN. BHD.;No.7,Jalan Semtec 2 Semtec Park 43500 Semenyih Selangor Darrul Ehsan;;43500 Semenyih Selangor Darul Ehsan;Malaysia;;;;03 8727 7421
35002403-4;ECOLEX SDN. BHD.;LOT 11,SECTION 5,FASA 2B,PULAU INDAH INDUSTRIAL PARK, JALAN SUNGAI PINANG 4/2 42920 P. I. SELANGOR;;SELANGOR;Malaysia;;;;603 3258 3054
35002404-2;Nova Laboratories Sdn. Bhd.;Lot 708, Nova Avenue, 43950 Sungai Pelek, Sepang Selangor Malasia;;;Malaysia;Ms Wong Mei Chiun;;;03 3141 3181
35002405-0;KERRY INGREDIENTS (SINGAPORE) PTE LTD;P.O.BOX 73, PEJABAT POS BESAR JOHOR BAHRU 80000 JOHOR BAHRU, MALAYSIA;;JOHOR BAHRU;Malaysia;;;;+6073409447
35002406-9;KERRY INGREDIENTS (M) SDN BHD;27TH FLOOR MENARA ZURICH 15, JALAN DATO ABDULLAH TAHIR 80300 JOHOR BAHRU, MALAYSIA;;JOHOR BAHRU;Malaysia;;;;+6073409447
35002407-7;DKSH Performance Materials Malaysia;B-11-01 The Ascent Paradigm, No. 1 Jalan SS7/26A Kelana Jaya, 47301 Petaling Jaya, Selangor;;Selangor;Malaysia;Xin Me Chen;;;
35002408-5;CREATIVE INGREDIENTS SDN. BHD.;5,Jalan BA/13, Kws Perusahaan Bukit Angkat, 43000 Kajang, Selangor;;Kws Perusahaan Bukit Angkat, 43000 Kajang, Selangor;Malaysia;Michael;;;
35003001-8;INTRACHEM;N 103 ASIA PACIFIC TRADE CENTRE MAIN;;KARACHI;Pakistan;;;;
35003002-6;NSR ENERGIES (PVT) LTD;26-A CANAL VIEW SOCIETY, WEST CANAL ROAD;;;Pakistan;;;;
35003003-4;Dashi International;86/R Block -2,PECHS;;;Pakistan;;;;
35003004-2;Naurus PVT Ltd;C-1/B, MANGHOPIR ROAD, NAURUS CHOWRANGI, S.I.T.E, KARACHI  75700;;KARACHI  75700;Pakistan;HINA;;;
35003005-0;Alzar Food Solutions;F.E.I CENTRE-G-3 SHAHRAH-E-FAISAL, CTRAL COMMERCIAL AREA. K.C.H.S.U. Shahrah-e-Faisal, Karachi-75350;;K.C.H.S.U. Shahrah-e-Faisal, Karachi-75350;Pakistan;Aslam;;;
35003200-2;REDA MATERIALS & EQUIPMENT LLC;PO BOX 23376, 28 th Floor, Office N02, QatarTower;;Qatar;Qatar;;;;
35003201-0;UNITED INDUSTRIAL MATERIALS;WEST BAY, MAJLIS AL TAAWON ST., QATAR TOWER 28TH FLOOR OFFICE NO. 2;;DOHA;Qatar;Nissar VP;;;+974 44604654
35003202-9;Baladna Food Industries WLL;North Road, Exit 44, Umm Al-Hawaya Area, Al-Khor.PO Box: 3382 Doha, Qatar;;Doha;Qatar;Carlyn;;;
35003203-7;Gulf Food Production WLL;Building 61, Street 32, Zone 81, New Industrial Area, Doha, Qatar.P.O: 2050;;Doha;Qatar;Mohamed;;;
35003300-9;Ingredion Singapur;;;;Singapore;;;;
35003301-7;FAITH MEDICAL SUPPLIES AND EQUIPMENT;BLOCK 28 BUKIT BATOK STREET 52;;;Singapore;;;;81382191
35003302-5;FUTURA INGREDIENTS;;;;Singapore;;;;
35003401-3;JK TRADELINK (Pvt) Ltd.;Nº 44, THALAWATHUGODA ROAD,;;PITAKOTTE;Sri Lanka;;;;94112865300
35003500-1;LALAN GROUP;;;;Sri Lanka;;;;
35003501-K;Help Food Services;;;;Sri Lanka;;;;
35003502-8;Multichemi International Ltd.;95/4 Industrial Zone, Kindelpitiya, Millewa, Horana;;Horana;Sri Lanka;;;;
35003600-8;NATIONAL STARCH AND CHEMICAL LTD.;Bangna Tower C, 11th Floor, 40/14 Moo 12, Banga -Trad Rd. Bangkaew, Bangplee SAMUTPRAKARN 10540;;;Thailand;;;;
35003601-6;ARC FOOD TECHNOLOGIES LIMITED (HEAD OFFICE);38 Chalanttip Building, 3rd Floor Unit 3A,Convent Road, Silom, Bangrak, Bangkok Thailand 10500;;Bangkok Thailand 10500;Thailand;Chalisa;;;
35003601-6;ARC FOOD TECHNOLOGIES LIMITED (HEAD OFFICE);38 Chalanttip Building, 3rd Floor Unit 3A,Convent Road, Silom, Bangrak, Bangkok Thailand 10500;;Bangkok Thailand 10500;Thailand;Naruemon;;;
35003602-4;DuPont Nutrition (Thailand) Ltd.;500/153 Moo 3 Tambol Tasit, Amphur Pluakdaeng, RAYONG, THAILAND 21140;;Rayong;Thailand;;;;
35003700-4;Chien Cheng Trading Co., Ltd.;;;;Taiwan;;;;
35003701-2;CHEMIX INTERNATIONAL (TAIWAN) CORP;4F-1. NO.283, SEC 1, FUSING, S.RD,;;;Taiwan;HELEN HWANG;;;886-2-2754-0189
35003702-0;SEI CHENG BIOTECHNOLOGY CO.,LTD.;1F, NO.255, SEC 1,YUAN SHUI RD,YUANLIN, CHUNG HUA HSIEN, TAIWAN;;CHUNG HUA HSIEN;Taiwan;;;;886-4-8365121
35003703-9;I Lan Food Industrial Co., Ltd;No.72, Xining N. Rd., Datong Dist., Taipei City 103 (R.O.C.);;;Taiwan;;;;
35004100-1;EUROSNAB Uzbekistan;Fargona yuli 23 str., house N° 31, 100005, Tashkent City;;Tashkent;Uzbekistan;Aliya;;;
35004200-8;C.K.S. Co., Ltd.;169/17 Str. 204,  Cao Lo Rd., Ward. 4, District 8 No Vhi Minh City Vietnam;;Ho Chi Minh;Vietnam;;;;
