Tipo;Nro;Fecha;OC;RCO;Rut;Direccion;Direccion_alterna;Medio_envio;Job;Condicion_venta;Localizacion;Cod_Impto;Vendedor;Certificados;Puerto_Embarque;Nave;Puerto_Destino;Clausula;Factura;Fecha_factura
O;1676;2015-5-14;GEL 039/15;;32003501-5C;ITUZAINGO NRO.1919 PAYSANDU;PAYSANDU;Terrestre;USD;30 días Fecha Factura;;IVA_EXE;2;Análisis S.;;;URUGUAY;FOB;102603;2015-5-25
O;1677;2015-5-14;GEL CP10968;;34501604-KC;118 S. CYPRESS STREET;CYPRESS STREET;Marítimo;USD;30 días Fecha Factura;;IVA_EXE;5;Análisis S.;;;KINGSTON;CIF;102637;2015-5-29
O;1684;2015-5-25;GEL 311/15;;35000203-0C;ABT Building 2nd floor, Al bustan District 31952 AL KHOBAR;;Marítimo;USD;60 días Fecha Factura;;IVA_EXE;6;Análisis S.;;;SAUDI ARABIA;FOB;102638;2015-5-29
O;1688;2015-5-25;GEL LA-21/15;;32003602-KC;CALLE MURACHI, EDIF.ATLANTIDA, LOCAL B EL LLANITO;Caracas;Marítimo;USD;90 días Fecha Factura;;IVA_EXE;13;Análisis S.;;;LA GUAIRA;CIF;102749;2015-6-30
O;1690;2015-5-25;GEL 517440;;34501608-2C;4609 RICHLYNN  DRIVE;BELCAMP, MD 21017;Marítimo;USD;45 días Fecha Factura;;IVA_EXE;3;Análisis S.;;;BALTIMORE;FOB;102880;2015-7-31
O;1698;2015-5-28;GEL PO 7173/76;;32000705-4C;EST.PARTICULAR FUKUTARO YIDA,1173-SAO;SAO PAULO;Terrestre;USD;60 días Fecha Factura;;IVA_EXE;3;Análisis S.;;;Braasil;FOB;102702;2015-6-17
O;1713;2015-6-5;GEL 2015/00184;;32002803-5C;AV. LOS ROSALES 280 SANTA ANITA LIMA 43 PERU;LIMA;Marítimo;USD;90 días Fecha Factura;;IVA_EXE;14;Análisis S.;;;CALLAO;FOB;102984;2015-8-26
O;1721;2015-6-19;GEL 2015.1519.01;;36004705-9C;GiZ 2000 PLAZA K.13 /D. 51  MASLAK 34398  ISTANBUL TURKEY;ISTANBUL;Marítimo;USD;90 días Fecha Factura;;IVA_EXE;6;Análisis S.;;;ISTANBUL;CIF;102754;2015-6-30
O;1724;2015-6-23;GEL GELY-05-15;;32001401-8C;VICENTE DUQUE N73-85 Y JOSE DE LA REA, QUITO ECUADOR RUC 1791269489001;Quito;Marítimo;USD;90 días Fecha Factura;;IVA_EXE;13;Análisis S.;;;GUAYAQUIL;FOB;102830;2015-7-17
O;1734;2015-7-6;GEL PO244/15;;35000804-7C;ROOM909,Bldg 17,Royal Intl.Mansion,No2 Xitieying Middle Road;Fengtai District, BEIJING CP 100069;Marítimo;USD;Letter of Credit at Sight;;IVA_EXE;14;Análisis S. L.;;;SHANGHAI;CIF;102888;2015-7-31
O;1740;2015-7-21;GEL 517756;;34501608-2C;4609 RICHLYNN  DRIVE;BELCAMP, MD 21017;Marítimo;USD;45 días Fecha Factura;;IVA_EXE;3;Análisis S.;;;BALTIMORE;CIF;102944;2015-8-14
O;1747;2015-7-23;GEL GELY-06-15;;32001401-8C;VICENTE DUQUE N73-85 Y JOSE DE LA REA, QUITO ECUADOR RUC 1791269489001;Quito;Marítimo;USD;90 días Fecha Factura;;IVA_EXE;13;Análisis S.;;;GUAYAQUIL;FOB;102947;2015-8-17
O;1748;2015-7-23;GEL 4600190296;;34501605-8C;CROCKETTS POINT PO BOX 1589 ROCKLAND, MAINE 04841-1589  USA;ROCKLAND, MAINE;Marítimo;USD;30 días Fecha Factura;;IVA_EXE;1;Análisis S.;;;NEW YORK;FOB;102926;2015-8-12
O;1766;2015-8-14;GEL PO247/15;;35000803-9C;Room 1201, 12th Floor,Building 2,1126-LI-AN ROAD, Minhang District,SHANGHAI 201199;SHANGHAI 201199  USCC  913101126762546417;Aéreo;USD;90 días Fecha Factura;;IVA_EXE;14;Análisis S.;;;SHANGHAI;CIP;102963;2015-8-20
O;1768;2015-8-14;GEL 2A071C;;35001802-6C;SHINAGAWA FRONTBLDG., 3 -1 3 KONAN 2-CHOME, MINATO-KU, TOKYO, 108-8216;Tokio;Marítimo;USD;45 días Fecha Factura;;IVA_EXE;13;Análisis S.;;;KOBE;;103071;2015-9-16
O;1769;2015-8-14;GEL SHS-10175-0;;32000203-6C;BARTOLOME MITRE 2364-66 1039;BUENOS AIRES;Terrestre;USD;90 días Fecha Factura;;IVA_EXE;2;Análisis S.;;;BUENOS AIRES;FCA;103002;2015-8-31
O;1780;2015-8-21;GEL XXX;;33002405-4C;Darwin, No. 68, Despacho 1301, Col.Anzures C.P. 11590;Ciudad de México;Aéreo;USD;60 días Fecha Factura;;IVA_EXE;5;Análisis S.;;;CIUDAD DE MEXICO;CIP;102980;2015-8-25
O;1782;2015-8-24;GEL P344508;;32000202-8C;Av.Henry Ford 3200, B1610BKW;Buenos Aires;Terrestre;USD;30 días Fecha Factura;;IVA_EXE;2;Análisis S.;;;BUENOS AIRES;FOB;103167;2015-10-7
O;1797;2015-9-14;GEL 7533;;32000705-4C;EST.PARTICULAR FUKUTARO YIDA,1173-SAO;SAO PAULO;Terrestre;USD;60 días Fecha Factura;;IVA_EXE;3;Análisis S.;;;SAO PAULO;FOB;;
O;1804;2015-9-17;GEL 15/1340/JFC;;35000203-0C;ABT Building 2nd floor, Al bustan District 31952 AL KHOBAR;;Marítimo;USD;60 días Fecha Factura;;IVA_EXE;6;Análisis S. L.;;;JEDDAH;CIF;103124;2015-9-29
O;1806;2015-9-17;GEL 201501140;;36001610-2C;Polígono Industrial As Gándaras S/N 36418 Porriño (Pontevedra);Porriño (Pontevedra);Marítimo;USD;Contado;;IVA_EXE;1;Análisis S. L.;;;MARIN;FOB;103219;2015-10-20
O;1822;2015-10-5;GEL 7100039723;;34501611-2C;810 S Cincinnati Avenue 4th Floor, Tulsa OK-74119 TAX ID: 22-3514823;Tulsa;Aéreo;USD;90 días Fecha Factura;;IVA_EXE;3;Análisis S.;;;USA;FOB;103206;2015-10-15
O;1823;2015-10-5;GEL 0005;;32001003-9C;Carrera 48 C # 100 Sur 72 -La Estrella - Atioquia;Atioquia;Aéreo;USD;30 días Fecha Factura;;IVA_EXE;20;Análisis S.;;;COLOMBIA;EXW;103240;2015-10-27
O;1833;2015-10-15;GEL IE1856/15;;32000704-6C;RUA BERTOLINO SERPA,501-BLOCO 02 CEP88311-547 CNPJ 01.838.723/0171-00 ITAJAÍ-SC-BR;CNPJ01.838.723/0171-00;Terrestre;USD;360 days;;IVA_EXE;3;Análisis S.;;;PARANAGUA;FOB;103346;2015-11-19
O;1834;2015-10-15;GEL IE1857/15;;32000704-6C;RUA BERTOLINO SERPA,501-BLOCO 02 CEP88311-547 CNPJ 01.838.723/0171-00 ITAJAÍ-SC-BR;CNPJ01.838.723/0171-00;Terrestre;USD;360 days;;IVA_EXE;3;Análisis S.;;;PARANAGUA;FOB;103486;2015-12-23
O;1835;2015-10-15;GEL 1088;;36504501-1C;Unit 2, Galaxy Office Park, 17 Galaxy Ave Linbro Business Park;Sandton 2065;Marítimo;USD;60 días Fecha Factura;;IVA_EXE;20;Análisis S.;;;DURBAN;CIF;103372;2015-11-26
O;1837;2015-10-16;GEL 140829079;;32003602-KC;CALLE MURACHI, EDIF.ATLANTIDA, LOCAL B EL LLANITO;Caracas;Marítimo;USD;90 días Fecha Factura;;IVA_EXE;20;Análisis S.;;;LA GUAIRA;CIF;103477;2015-12-22
O;1844;2015-10-23;GEL 4500118223;;32003505-8C;Paraguay N°2141 of. 1204 A Aguada Park , Montevideo Uruguay;Montevideo;Terrestre;USD;60 días Fecha Factura;;IVA_EXE;2;Análisis S.;;;BUENOS AIRES;;103325;2015-11-16
O;1849;2015-10-23;GEL 7100039788/1;;34501611-2C;810 S Cincinnati Avenue 4th Floor, Tulsa OK-74119 TAX ID: 22-3514823;Tulsa;Marítimo;USD;90 días Fecha Factura;;IVA_EXE;3;Análisis S.;;;USA;FOB;103321;2015-11-16
O;1850;2015-10-23;GEL 7100039780/0001;;34501611-2C;810 S Cincinnati Avenue 4th Floor, Tulsa OK-74119 TAX ID: 22-3514823;Tulsa;Marítimo;USD;90 días Fecha Factura;;IVA_EXE;3;Análisis S.;;;USA;FOB;103298;2015-11-9
O;1854;2015-10-27;GEL SHS-10290-0;;32000203-6C;BARTOLOME MITRE 2364-66 1039;BUENOS AIRES;Terrestre;USD;90 días Fecha Factura;;IVA_EXE;2;Análisis S.;;;BUENOS AIRES;FOB;103329;2015-11-18
O;1873;2015-11-12;GEL P344818;;32000202-8C;Av.Henry Ford 3200, B1610BKW;Buenos Aires;Terrestre;USD;30 días Fecha Factura;;IVA_EXE;2;Análisis S.;;;BUENOS AIRES;FOB;103453;2015-12-11
O;1874;2015-11-12;GEL 4600193525-1;;34501605-8C;CROCKETTS POINT PO BOX 1589 ROCKLAND, MAINE 04841-1589  USA;ROCKLAND, MAINE;Aéreo;USD;30 días Fecha Factura;;IVA_EXE;1;Análisis S.;;;NEW YORK, USA;FOB;103323;2015-11-16
O;1879;2015-11-18;GEL 032/15 - 7100001106;;32000702-KC;RUA RODOLFO HUFENUSSLER, 755 CAIXA;CEP 89251-901;Terrestre;USD;45 días Fecha Factura;;IVA_EXE;3;Análisis S.;;;JARAGUA DO SUL;EXW;103611;2016-1-25
O;1881;2015-11-23;GEL LA-035-15;;32001404-2C;AV. MALDONADO S28-35(SECTOR GUAJALO);QUITO;Marítimo;USD;60 días Fecha Factura;;IVA_EXE;14;Análisis S.;;;GUAYAQUIL;CFR;103429;2015-12-9
O;1884;2015-11-23;GEL 151118P109;;32000602-3C;NATANIEL AGUIRRE Nº 645;COCHABAMBA;Terrestre;USD;30 días Fecha Factura;;IVA_EXE;14;Análisis S.;;;COCHABAMBA, BOLIVIA;FOB;103415;2015-12-4
O;1885;2015-11-23;GEL 324;;36500208-8C;RUE DES FRERES ZEDRI 09240 BENI TAMOU BLIDA ALGER ALGERIA;ARGEL;Aéreo;EUR;Contado;;IVA_EXE;6;Análisis S.;;;ALGIERS AIRPORT;CPT;103360;2015-11-24
O;1897;2015-12-9;GEL 341;;33002405-4C;Darwin, No. 68, Despacho 1301, Col.Anzures C.P. 11590;Ciudad de México;Aéreo;USD;60 días Fecha Factura;;IVA_EXE;5;Análisis;;;CIUDAD DE MEXICO;CIP;;
O;1897;2015-12-9;GEL 341;;33002405-4C;Darwin, No. 68, Despacho 1301, Col.Anzures C.P. 11590;Ciudad de México;Aéreo;USD;60 días Fecha Factura;;IVA_EXE;5;Análisis;;;CIUDAD DE MEXICO;CIP;103466;2015-12-16
O;1897;2015-12-9;GEL 341;;33002405-4C;Darwin, No. 68, Despacho 1301, Col.Anzures C.P. 11590;Ciudad de México;Aéreo;USD;60 días Fecha Factura;;IVA_EXE;5;Análisis;;;CIUDAD DE MEXICO;CIP;103485;2015-12-23
O;1900;2015-12-10;GEL 7901;;32000705-4C;EST.PARTICULAR FUKUTARO YIDA,1173-SAO;SAO PAULO;Terrestre;USD;60 días Fecha Factura;;IVA_EXE;3;Análisis S.;;;SAO PAULO;FOB;103545;2016-1-12
O;1901;2015-12-11;GEL 2015/00563;;32002803-5C;AV. LOS ROSALES 280 SANTA ANITA LIMA 43 PERU;LIMA;Marítimo;USD;90 días Fecha Factura;;IVA_EXE;14;Análisis S.;;;MARITIMO;FOB;103514;2015-12-30
O;1905;2015-12-22;GEL P345031;;32000202-8C;Av.Henry Ford 3200, B1610BKW;Buenos Aires;Terrestre;USD;30 días Fecha Factura;;IVA_EXE;2;Análisis S.;;;BUENOS AIRES, ARGNETINA;FOB;103625;2016-1-29
O;1908;2015-12-23;GEL IE2390/15;;32000704-6C;RUA BERTOLINO SERPA,501-BLOCO 02 CEP88311-547 CNPJ 01.838.723/0171-00 ITAJAÍ-SC-BR;CNPJ01.838.723/0171-00;Marítimo;USD;360 days;;IVA_EXE;3;Análisis S.;;;PARANAGUA;FOB;103748;2016-2-22
O;1913;2015-12-28;GEL SHS-10349-0;;32000203-6C;BARTOLOME MITRE 2364-66 1039;BUENOS AIRES;Terrestre;USD;90 días Fecha Factura;;IVA_EXE;2;Análisis S.;;;BUENOS AIRES;FCA;103626;2016-1-29
O;1913;2015-12-28;GEL SHS-10349-0;;32000203-6C;BARTOLOME MITRE 2364-66 1039;BUENOS AIRES;Terrestre;USD;90 días Fecha Factura;;IVA_EXE;2;Análisis S.;;;BUENOS AIRES;FCA;103695;2016-2-10
O;1921;2015-12-31;GEL LA-045/15;;32001403-4C;AV. OCTAVIO CHACON MOSCOSO 4-103;CUENCA;Marítimo;USD;60 días Fecha Factura;;IVA_EXE;14;Análisis S.;;;GUAYAQUIL, ECUADOR;CFR;104094;2016-5-13
O;1926;2016-1-11;GEL 4600195284;;36003901-3C;Industrivejen 33 Sandvika 1337 0219 Berum;0219 Berum;Marítimo;USD;30 días Fecha Factura;;IVA_EXE;1;Análisis S.;;;GIRVAN;CIF;103543;2016-1-12
O;1931;2016-1-11;GEL 2015/00610;;32002803-5C;AV. LOS ROSALES 280 SANTA ANITA LIMA 43 PERU;LIMA;Marítimo;USD;90 días Fecha Factura;;IVA_EXE;14;Análisis S.;;;CALLAO, PERU;FOB;103617;2016-1-27
O;1936;2016-1-12;GEL 4600194971-1A;;34501605-8C;CROCKETTS POINT PO BOX 1589 ROCKLAND, MAINE 04841-1589  USA;ROCKLAND, MAINE;Marítimo;USD;30 días Fecha Factura;;IVA_EXE;1;Análisis S.;;;HALIFAX;FOB;103578;2016-1-19
O;1939;2016-1-14;GEL 4600194971-1C;;34501605-8C;CROCKETTS POINT PO BOX 1589 ROCKLAND, MAINE 04841-1589  USA;ROCKLAND, MAINE;Marítimo;USD;30 días Fecha Factura;;IVA_EXE;1;Análisis S.;;;HALIFAX;FOB;104133;2016-5-25
O;1812;2015-9-29;GEL IE1663/15;;32000704-6C;RUA BERTOLINO SERPA,501-BLOCO 02 CEP88311-547 CNPJ 01.838.723/0171-00 ITAJAÍ-SC-BR;CNPJ01.838.723/0171-00;Terrestre;USD;90 días Fecha Factura;;IVA_EXE;3;Análisis S.;;;PARANAGUA;FOB;103202;2015-10-14
O;1815;2015-9-30;GEL PC15/00548;;36001605-6C;C/CARDENAL BELLUGA, PARCELA 24/23;SAN GINES;Marítimo;USD;30 días Fecha Factura;;IVA_EXE;19;Análisis S. L.;;;VALENCIA;CIF;103164;2015-10-7
O;1817;2015-10-2;GEL 2015/00416;;32002803-5C;AV. LOS ROSALES 280 SANTA ANITA LIMA 43 PERU;LIMA;Aéreo;USD;90 días Fecha Factura;;IVA_EXE;14;Análisis S.;;;LIMA, PERU;CIF;103217;2015-10-20
O;1819;2015-10-2;GEL 2015/00396;;32002803-5C;AV. LOS ROSALES 280 SANTA ANITA LIMA 43 PERU;LIMA;Marítimo;USD;90 días Fecha Factura;;IVA_EXE;14;Análisis S.;;;CALLAO, PERU;FOB;103331;2015-11-18
O;1822;2015-10-5;GEL 7100039723;;34501611-2C;810 S Cincinnati Avenue 4th Floor, Tulsa OK-74119 TAX ID: 22-3514823;Tulsa;Aéreo;USD;90 días Fecha Factura;;IVA_EXE;3;Análisis S.;;;USA;FOB;103203;2015-10-14
O;1825;2015-10-6;GEL GELY-08-15;;32001401-8C;VICENTE DUQUE N73-85 Y JOSE DE LA REA, QUITO ECUADOR RUC 1791269489001;Quito;Marítimo;USD;90 días Fecha Factura;;IVA_EXE;14;Análisis S.;;;GUAYAQUIL, ECUADOR;CIF;103452;2015-12-11
O;1841;2015-10-21;GEL 316;;36500206-1C;ROUTE BOUSMAIL LOT BELHAOUANE N°24 VILLE DE KOLEA WILAYA DE TIPAZA CP42400 ALGERIE;VILLE DE KOLEA WILAYA DE TIPAZA;Marítimo;USD;30 días Fecha Factura;;IVA_EXE;6;Análisis S.;;;ALGER PORT;CIF;103264;2015-10-30
O;1845;2015-10-23;GEL 1001088;;32001502-2C;KM. 12,5 CARRETERA AL PUERTO DE LA LIBERTAD NUEVO CUSCATLAN EL SALVADOR CENTTRO AMERICA;El Salvador;Marítimo;USD;60 días Fecha Factura;;IVA_EXE;20;Análisis S.;;;SAN SALVADOR;CIF;103516;2015-12-30
O;1846;2015-10-23;GEL 1001088;;32001502-2C;KM. 12,5 CARRETERA AL PUERTO DE LA LIBERTAD NUEVO CUSCATLAN EL SALVADOR CENTTRO AMERICA;El Salvador;Aéreo;USD;60 días Fecha Factura;;IVA_EXE;20;Análisis S.;;;SAN SALVADOR;CIF;103261;2015-10-29
O;1848;2015-10-23;GEL PO250/15;;35000803-9C;Room 1201, 12th Floor,Building 2,1126-LI-AN ROAD, Minhang District,SHANGHAI 201199;SHANGHAI 201199  USCC  913101126762546417;Marítimo;USD;90 días Fecha Factura;;IVA_EXE;14;Análisis S. L.;;;SHANGHAI;CIF;103281;2015-11-6
O;1864;2015-11-5;GEL 5683;;33002409-7C;Calle 14 de Agosto No. 55 Col. Manuel Avìla Camacho, Naucalpan Estado de Mexico;Mexico;Aéreo;USD;90 días Fecha Factura;;IVA_EXE;5;Análisis S.;;;CIUDAD DE MEXICO;CIP;103299;2015-11-9
O;1865;2015-11-5;GEL 5684;;33002409-7C;Calle 14 de Agosto No. 55 Col. Manuel Avìla Camacho, Naucalpan Estado de Mexico;Mexico;Marítimo;USD;90 días Fecha Factura;;IVA_EXE;5;Análisis S.;;;MANZANILLO;CIF;103370;2015-11-26
O;1871;2015-11-10;GEL P004462-00;;32001101-9C;200M. Este del Banco Nacional;SAN JOSE DE COSTA RICA;Marítimo;USD;90 días Fecha Factura;;IVA_EXE;20;Análisis S.;;;SAN JOSE DE COSTA RICA;EXW;103458;2015-12-14
O;1883;2015-11-23;GEL LA-035-15;;32000601-5C;AV. MARIO MERCADO No.100, Zoma Llojeta La Paz- Bolivia NIT 1020493029;Bolivia;Aéreo;USD;30 días Fecha Factura;;IVA_EXE;14;Análisis S.;;;LA PAZ, BOLIVIA;EXW;103385;2015-11-30
O;1887;2015-11-26;GEL PO252/15;;35000803-9C;Room 1201, 12th Floor,Building 2,1126-LI-AN ROAD, Minhang District,SHANGHAI 201199;SHANGHAI 201199  USCC  913101126762546417;Marítimo;USD;90 días Fecha Factura;;IVA_EXE;14;Análisis S.;;;SHANGHAI;CIF;103413;2015-12-4
O;1888;2015-11-27;GEL 328;;35001501-9C;ALJAMAILA STREET. BAGHDAD. Phone:009647504453904 Fax: 00964662560984 Email: info@burgaliraq.com;BAGHDAD;Marítimo;USD;TT IN ADVANCE NO USAR;;IVA_EXE;6;Análisis S.;;;MERSIN;CIF;103502;2015-12-29
O;1940;2016-1-14;GEL 4600194971-2A;;34501605-8C;CROCKETTS POINT PO BOX 1589 ROCKLAND, MAINE 04841-1589  USA;ROCKLAND, MAINE;Marítimo;USD;30 días Fecha Factura;;IVA_EXE;1;Análisis S.;;;HALIFAX;FOB;104407;2016-7-29
O;1941;2016-1-14;GEL 4600194971-2B;;34501605-8C;CROCKETTS POINT PO BOX 1589 ROCKLAND, MAINE 04841-1589  USA;ROCKLAND, MAINE;Marítimo;USD;30 días Fecha Factura;;IVA_EXE;1;Análisis S.;;;HALIFAX;FOB;104408;2016-7-29
O;1944;2016-1-14;GEL 4600194971-3B;;34501605-8C;CROCKETTS POINT PO BOX 1589 ROCKLAND, MAINE 04841-1589  USA;ROCKLAND, MAINE;Marítimo;USD;30 días Fecha Factura;;IVA_EXE;1;Análisis S.;;;HALIFAX;FOB;104794;2016-10-28
O;1947;2016-1-18;GEL 0007;;32001003-9C;Carrera 48 C # 100 Sur 72 -La Estrella - Atioquia;Atioquia;Marítimo;USD;30 días Fecha Factura;;IVA_EXE;20;Análisis S.;;;BUENA VENTURA;FOB;103686;2016-2-10
O;1964;2016-1-27;GEL 2A089C;;35001802-6C;SHINAGAWA FRONTBLDG., 3 -1 3 KONAN 2-CHOME, MINATO-KU, TOKYO, 108-8216;Tokio;Marítimo;USD;45 días Fecha Factura;;IVA_EXE;13;Análisis S.;;;kobe;CFR;103814;2016-3-8
O;1984;2016-2-5;GEL GELY-02-16;;32001401-8C;VICENTE DUQUE N73-85 Y JOSE DE LA REA, QUITO ECUADOR RUC 1791269489001;Quito;Marítimo;USD;90 días Fecha Factura;;IVA_EXE;14;Análisis S.;;;GUAYAQUIL;FOB;103771;2016-2-29
O;1986;2016-2-5;GEL GELY-03-16;;32001401-8C;VICENTE DUQUE N73-85 Y JOSE DE LA REA, QUITO ECUADOR RUC 1791269489001;Quito;Marítimo;USD;90 días Fecha Factura;;IVA_EXE;14;Análisis S.;;;GUAYAQUIL;FOB;104030;2016-4-29
O;1989;2016-2-8;GEL P087507-00;;32001101-9C;200M. Este del Banco Nacional;SAN JOSE DE COSTA RICA;Marítimo;USD;90 días Fecha Factura;;IVA_EXE;20;Análisis S.;;;SAN JOSE DE COSTA RICA;FOB;103721;2016-2-17
O;2009;2016-2-22;GEL;;34501614-7C;150 SE 2ND AVE. SUITE 507 MIAMI,FL. 33131;Miami;Marítimo;USD;Contado;;IVA_EXE;20;Análisis S.;;;PUERTO CABELLO;CIF;103885;2016-3-24
O;2050;2016-3-28;GEL 518775;;34501608-2C;4609 RICHLYNN  DRIVE;BELCAMP, MD 21017;Marítimo;USD;45 días Fecha Factura;;IVA_EXE;3;Análisis S.;;;BALTIMORE;FOB;104158;2016-5-31
O;2053;2016-3-28;GEL 4502501971;;32000701-1C;SAO BERNARDO DO CAMPO, SP RODOVIA ANCHIETA, KM 14, RUDGE RAMOS;RUDGE RAMOS;Marítimo;USD;45 días Fecha Factura;;IVA_EXE;1;Análisis S.;;;SANTOS;CFR;104033;2016-4-29
O;2059;2016-4-1;GEL RIVONA;;36002901-8C;Savanoriu ave. 176. LT-03154 Vilnius;Vilnius;Marítimo;EUR;30 días Fecha Factura;;IVA_EXE;5;Análisis S.;;;Lithuania;FOB;104025;2016-4-28
O;2069;2016-4-13;GEL OC-64;;32001405-0C;KM. 5 VIA DURAN TAMBO BODEGAS CORRUCHECSA RUC 0992869925001;GUAYAQUIL;FEDEX;USD;Contado;;IVA_EXE;14;Análisis S.;;;GUAYAQUIL;CPT;103990;2016-4-19
O;2071;2016-4-14;GEL 4600198648;;34501605-8C;CROCKETTS POINT PO BOX 1589 ROCKLAND, MAINE 04841-1589  USA;ROCKLAND, MAINE;Marítimo;USD;30 días Fecha Factura;;IVA_EXE;1;Análisis S.;;;HALIFAX;FOB;104029;2016-4-29
O;2072;2016-4-14;GEL PO257/16;;35000803-9C;Room 1201, 12th Floor,Building 2,1126-LI-AN ROAD, Minhang District,SHANGHAI 201199;SHANGHAI 201199  USCC  913101126762546417;Marítimo;USD;90 días Fecha Factura;;IVA_EXE;14;Análisis S.;;;SHANGHAI;CIF;104095;2016-5-13
O;2077;2016-4-15;GEL 2016000222;;32000601-5C;AV. MARIO MERCADO No.100, Zoma Llojeta La Paz- Bolivia NIT 1020493029;Bolivia;Terrestre;USD;30 días Fecha Factura;;IVA_EXE;14;Análisis S.;;;fOB SANTIAGO;FOB;104031;2016-4-29
O;2079;2016-4-15;GEL 518906;;34501608-2C;4609 RICHLYNN  DRIVE;BELCAMP, MD 21017;Marítimo;USD;45 días Fecha Factura;;IVA_EXE;3;Análisis S.;;;BALTIMORE;FOB;104228;2016-6-16
O;2089;2016-4-29;GEL 518976;;34501608-2C;4609 RICHLYNN  DRIVE;BELCAMP, MD 21017;Marítimo;USD;45 días Fecha Factura;;IVA_EXE;3;Análisis S.;;;BALTIMORE;FOB;104282;2016-6-30
O;2106;2016-5-12;GEL PO 519038;;34501608-2C;4609 RICHLYNN  DRIVE;BELCAMP, MD 21017;Marítimo;USD;45 días Fecha Factura;;IVA_EXE;3;Análisis S.;;;BALTIMORE;FOB;104277;2016-6-30
O;2108;2016-5-16;GEL 13470;;32001005-5C;Carrera 50 No. 97 A sur 392, zona Industria Sierra Morena  La Estrella, Antioquia, Colombia;Medellín;Marítimo;USD;75 días Fecha Factura NO USAR;;IVA_EXE;14;Análisis S. L.;;;Buenaventura;FOB;104157;2016-5-31
O;2110;2016-5-16;GEL OC-000870-2;;32000203-6C;BARTOLOME MITRE 2364-66 1039;BUENOS AIRES;Terrestre;USD;150 dias Fecha Factura;;IVA_EXE;2;Análisis S.;;;BUENOS AIRES;FCA;104148;2016-5-27
O;2111;2016-5-16;GEL 26553;;35001206-0;Block 1, Lot 10, Mountview Industrial Complex, Bancal Carmona Cavite 4116 Philippines;Philippines;Marítimo;USD;Contado;;IVA_EXE;13;Análisis S.;;;Manila, PHILIPPINES;FOB;104155;2016-5-31
O;2116;2016-5-17;GEL 2016/00279;;32002803-5C;AV. LOS ROSALES 280 SANTA ANITA LIMA 43 PERU;LIMA;Marítimo;USD;90 días Fecha Factura;;IVA_EXE;14;Análisis S.;;;CALLAO, PERU;FOB;104512;2016-8-31
O;2123;2016-6-6;GEL 674281;;32000200-1C;Moreno 877 piso 14;Buenos Aires;Terrestre;CLP;60 días Fecha Factura;;IVA_EXE;2;Análisis S.;;;ARGENTINA;FOB;104227;2016-6-15
O;2125;2016-6-6;GEL 2882;;36504501-1C;Unit 2, Galaxy Office Park, 17 Galaxy Ave Linbro Business Park;Sandton 2065;Marítimo;USD;60 días Fecha Factura;;IVA_EXE;3;Análisis S.;;;DURBAN;CFR;104222;2016-6-14
O;2126;2016-6-7;GEL 4600200444;;36003901-3C;Industrivejen 33 Sandvika 1337 0219 Berum;0219 Berum;Marítimo;USD;30 días Fecha Factura;;IVA_EXE;1;Análisis S.;;;GIRVA;CFR;104252;2016-6-23
O;2128;2016-6-8;GEL 7100041298/0003;;34501611-2C;810 S Cincinnati Avenue 4th Floor, Tulsa OK-74119 TAX ID: 22-3514823;Tulsa;Marítimo;USD;90 días Fecha Factura;;IVA_EXE;3;Análisis S.;;;USA;FOB;104253;2016-6-23
O;2130;2016-6-8;GEL 140829137;;34501614-7C;150 SE 2ND AVE. SUITE 507 MIAMI,FL. 33131;Miami;Marítimo;USD;Contado;;IVA_EXE;20;Análisis S.;;;VENEZUELA;FOB;104276;2016-6-30
O;2130;2016-6-8;GEL 140829137;;34501614-7C;150 SE 2ND AVE. SUITE 507 MIAMI,FL. 33131;Miami;Marítimo;USD;Contado;;IVA_EXE;20;Análisis S.;;;VENEZUELA;FOB;104379;2016-7-26
O;2136;2016-6-8;GEL 1301160084;;32003502-3C;YAGUARON 1407 PISO 16;MONTEVIDEO;Aéreo;USD;90 días Fecha Factura;;IVA_EXE;2;Análisis S.;;;MONTEVIDEO, URUGUAY;FOB;104313;2016-7-7
O;2138;2016-6-8;GEL 4502529074;;32000201-KC;Av.Antartida Argentina 2269 Llavallol;Buenos Aires;Terrestre;USD;45 días Fecha Factura;;IVA_EXE;1;Análisis S.;;;BS AS, ARGENTINA;CFR;104216;2016-6-13
O;2145;2016-6-22;GEL IE 1160/16;;32000704-6C;RUA BERTOLINO SERPA,501-BLOCO 02 CEP88311-547 CNPJ 01.838.723/0171-00 ITAJAÍ-SC-BR;CNPJ01.838.723/0171-00;Marítimo;USD;360 days;;IVA_EXE;3;Análisis S.;;;PARANAGUA, BRASIL;FOB;104431;2016-8-8
O;2152;2016-6-24;GEL 371;;33002405-4C;Darwin, No. 68, Despacho 1301, Col.Anzures C.P. 11590;Ciudad de México;Aéreo;USD;60 días Fecha Factura;;IVA_EXE;5;Análisis S.;;;CIUDAD DE MEXICO;EXW;104289;2016-7-1
O;2171;2016-7-8;GEL 519306;;34501608-2C;4609 RICHLYNN  DRIVE;BELCAMP, MD 21017;Marítimo;USD;60 días Fecha Factura;;IVA_EXE;3;Análisis S.;;;BALTIMORE;FOB;104513;2016-8-31
